"DIRECTORIO","CANT_HOG_COMPLETOS","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P1070","P4005","P4015","P4567","P8520","P8520S1","P8520S1A1","P8520S3","P8520S4","P8520S4A1","P8520S5","P4065","P4065S1","P4065S2","P4065S3","P4065S4","P5661","P5661S1","P5661S2","P5661S3","P5661S4","P5661S5","P5661S6","P5661S7","P5661S9","P1891","P1891S1","P1891S2","P1891S3","P1891S4","P1891S5","P1_DEPARTAMENTO","FEX_C","CLASE"
6000094,1,1,1,1,1,3,5,2,1.79769313486232e+308,1,2,2,1,1,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,2,1,1.79769313486232e+308,2,1,2,1,1,"17",389.344186434948,2
6000095,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,2,2,1,1,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"17",253.981682102522,2
6000096,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,3,1,3,3,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",1261.09006512301,1
6000097,1,1,1,1,2,1,4,4,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",922.477654836313,1
6000098,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,4,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,4,4,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",1567.14204062307,1
6000099,1,1,1,1,2,1,5,2,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",1185.50488363538,1
6000100,1,1,1,1,2,1,4,2,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",1567.14204062307,1
6000101,1,1,1,1,2,1,4,2,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"17",1418.64779595075,1
6000102,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,3,1,1,1,4,1,1,1.79769313486232e+308,2,2,2,2,2,"17",1340.87732809188,1
6000103,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,3,1,1,1,2,2,1,1.79769313486232e+308,1,2,1,2,2,"63",1290.32442707602,1
6000104,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,2,2,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,1,"63",732.857025260771,1
6000105,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"63",1110.39743269221,1
6000106,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,1,2,2,2,2,1,1.79769313486232e+308,2,2,2,2,2,"63",1142.58376120667,1
6000107,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,2,2,1,2,2,2,1.79769313486232e+308,2,2,2,2,2,"63",666.322576162612,1
6000108,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"63",1145.86163352186,1
6000109,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,4,4,1,1.79769313486232e+308,2,1,1,2,2,"66",2168.89721998695,1
