DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P5000	P5010	P5016	P5016S2	P5016S3	P5016S4	P5016S5	P5016S6	P5666	P8526	P5022	P5024	P5030	P1892	P1892S1	P1892S2	P1892S3	P1892S4	P1893	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P5012S8	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	LLAVEHOG	FEX_C	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU
6000108	1	1	1	3	2				1			2	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	2	1		4	2		1	60001081	1145.86163352186	4	1461000	1461000	365250	0
6000109	1	1	1	5	3						1	1	1	1	2	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	1	4	1		2	2		2	60001091	2168.89721998695	6	1450000	1450000	241666.666666667	0
6000110	1	1	1	3	2				1			2	1	1	1	1		1	1	1		1	1	2										1	1	2	1	2	1	1	1	1	1	1	1		4	2		2	60001101	1571.11655241402	3	291666.666666667	291666.666666667	97222.2222222222	0
6000111	1	1	1	3	2						1	1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	1	1	1	1	1	4	1		2	2		1	60001111	1639.50484494269	3	1629001.75	1629001.75	543000.583333333	0
6000112	1	1	1	3	2				1			1	1	2	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	2	2	1		2	2		1	60001121	1822.60108746436	4	2095533.41666667	2095533.41666667	523883.354166667	0
6000113	1	1	1	3	2				1			2	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	1	1	1	1		4	2		2	60001131	3101.40702573307	4	947553.333333333	947553.333333333	236888.333333333	0
6000114	1	1	1	2	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	1	1	1	1		2	2		2	60001141	1418.77360586487	2	1100000	1100000	550000	0
6000115	1	1	1	4	2				1			2	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	2	1	1	1	1		4	2		2	60001151	2235.14239798135	4	1423770	1423770	355942.5	0
6000116	1	1	1	3	2						1	2	1	1	1	1		1	1	1		1	1	2										1	1	1	1	2	2	2	1	1	1	2	2		4	2		2	60001161	1756.67263133593	2	1351886.66666667	1351886.66666667	675943.333333333	0
6000117	1	1	1	2	1				1			2	1	1	1	1		1	1	1		1	1	2										1	2	2	2	2	2	2	2	1	1	1	1		4	2		2	60001171	1976.1610899437	1	922146.25	922146.25	922146.25	0
6000118	1	1	1	3	2				1			1	1	1	1	1			1	1		1	1	1		1		1	1					1	1	2	2	2	2	2	1	1	1	1	1		2	2		2	60001181	1455.35708812627	2	862526.75	862526.75	431263.375	0
6000119	1	1	1	2	1				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	1	1	1	1		2	2		2	60001191	1339.59762383852	1	233333.333333333	233333.333333333	233333.333333333	0
6000122	1	1	1	3	1				1			1	1	1	1	1			1	1		1	1	2										1	1	2	2	2	2	2	1	1	1	1	1		2	2		2	60001221	1743.23383926271	1	387500	387500	387500	0
6000123	1	1	1	3	2				1			1	1	1	1	1		1	1	1		1	1	1		1		1	1					1	1	1	1	2	2	2	1	1	1	1	1		2	2		2	60001231	2314.3183800077	5	2639814.66666667	2639814.66666667	527962.933333333	0
6000124	1	1	1	5	5				1			2	1	1	2	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	2	1		4	2		1	60001241	1141.66755671739	6	2100000	2100000	350000	0
6000125	1	1	1	2	1				1			1	1	1	1	1		1		1		1	1	2										1	1	2	2	2	2	2	1	1	1	1	1		2	2		2	60001251	1616.52229234767	3	1195437	1195437	398479	0
6000126	1	1	1	4	3				1			1	1	1	1	1		1	1	1		1	1	1		1	1	1						1	1	1	2	2	2	2	1	1	1	1	1		2	2		1	60001261	2634.27404500725	6	400000	400000	66666.6666666667	0
